SubjectID	sections
231677206	Gestion de l'énergie et construction durable|Microtechnique|Mineur en Biocomputing|Sciences et ingénierie de l'environnement|Science et ingénierie computationnelles|Systèmes de communication - master|Informatique
1823866136	Programme Sciences humaines et sociales
71644441	Génie électrique et électronique|Systèmes de communication - master|Informatique
1496923419	Architecture
1584778525	Sciences et technologies du vivant
1898535955	Chimie moléculaire et biologique
71629360	Science et génie des matériaux
1583926565	Mathématiques
1775517	Physique - master|Ingénierie physique
23985449	Sciences et ingénierie de l'environnement
1499340075	Génie électrique et électronique|Passerelle HES - EL
1770798	Information security minor|UNIL - Sciences forensiques|Systèmes de communication - master
128789807	Génie électrique et électronique|Science et ingénierie computationnelles|Systèmes de communication - master|Informatique
2328456	Génie mécanique
1954059570	Programme Sciences humaines et sociales
824210739	Microtechnique|Génie mécanique
1889230132	Systèmes de communication - master|Informatique
249730357	Programme Sciences humaines et sociales
1680530742	Bioingénierie|Sciences et technologies du vivant - master
1680358717	Programme Sciences humaines et sociales
236283202	Ingénierie financière
1680235062	Architecture|Passerelle HES - AR
134468934	Génie civil
1513577805	Chimie et génie chimique
824206674	Microtechnique
1748172	Chimie et génie chimique|Génie civil|Microtechnique|Génie électrique et électronique|Génie mécanique|Science et génie des matériaux|Sciences et ingénierie de l'environnement|Sciences et technologies du vivant|Systèmes de communication|Informatique
24345947	Mathématiques
1771829	CMS
352059962	Science et génie des matériaux
1693707617	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1580209507	Programme Sciences humaines et sociales
1577870692	Architecture|Echange AR|Passerelle HES - AR
71966057	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat|Ingénierie financière
1771015531	Hors plans
231617900	Sciences et ingénierie de l'environnement
47572541	Gestion de l'énergie et construction durable|Sciences et ingénierie de l'environnement
132427120	Informatique
47830388	Bioingénierie|Microtechnique|Génie électrique et électronique|Mineur en Technologies biomédicales|Sciences et technologies du vivant - master
400766326	Microtechnique|Mineur en Technologies biomédicales|Passerelle HES - MT
71603578	Microtechnique
1964500347	Ingénierie financière
1774972	Science et génie des matériaux
234597759	Génie chimique et biotechnologie
1499348352	Génie électrique et électronique
1771714259	Science et génie des matériaux
1899816322	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1593341315	Génie chimique et biotechnologie
1580219781	Programme Sciences humaines et sociales
1499350407	Gestion de l'énergie et construction durable|Mineur en Technologies spatiales|Sciences et ingénierie de l'environnement
1658221961	Bioingénierie|Microtechnique|Génie électrique et électronique|Mineur en Neuroprosthétiques|Mineur en Technologies biomédicales
129699210	Ingénierie financière
1771068812	Sciences et technologies du vivant - master
348607885	Génie civil|Mineur en Développement territorial et urbanisme|Passerelle HES - GC
1932629392	Génie civil
